@	#	NATION	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	SUB #1	SUB #2	SUB #3	SUB #4	SUB #5	SUB #6	SUB #7	SUB #8	SUB #9	SUB #10	SUB #11	HOME	AWAY	LOCATION	STADIUM	FEDERATION
	PER	Perovska	69.9	Route One	4-4-2	Never	No Instruction	No Instruction	(76) Isamu FUNAKOSHI [NCH]	(74) Evgeny KARPOV	(71) Stepan ANDREEV	(71) Ivan GAVRILOVIC	(71) Osman MAMUT	(73) Lev GUSEV	(74) Klim ZAYTSEV	(73) Rodion TITOV	(69) Daulet KENZHEBAYEV	(68) Makar KULIKOV	(80) Alimjan TURGHUN	(72) Fedor FROLOV	(67) Vitaly MARKOV	(68) Georgy NIKITIN	(65) Ignat BARANOV	(62) Boris GRIGOROFFIC	(72) Arman DOSMUKHAMED	(67) Nikita SHIROKOV	(68) Trofim SAVELYEV	(66) Tikhon TARASOV	(69) Nurlan ZHAKUPOV	(71) Sevastyan ROSHCHIN	(66) Platon DENISOV	#89001b	#000000	Kyakhta	Yablonevy Stadion (34,000)	VAFC
	POL	Polabiny	69.7	Catenaccio	4-4-2	Sometimes	Long	Drop Off	(71) Amedeo BENUSSI [VIC]	(70) Jakub SVOBODA	(69) Matěj SKOČDOPOLE	(71) Přemysl KRATOCHVÍL	(68) Dušan TÓTH	(76) Ladislav KUČERA	(68) Zbyněk BEZRUČ	(70) Svatopluk VESELÝ	(71) Radim VOHÁNKA	(71) Tibor HORVÁTH	(80) Karel ČERNÝ	(75) Miroslav PŘIBYL	(68) Emil VALACH	(67) František NOVOTNÝ	(69) Bohumil ŠTĚPÁNEK	(61) Mateusz KOWALSKI	(69) Vratislav ZEMÁNEK	(67) Ottó VARGA	(69) Lubomír MACHÁČEK	(69) Ctirad HAVLÍČEK	(69) Zsigmond FEHÉRVÁRI	(67) Vilém ZLATOHLAVÝ	(69) Aleš NEJEZCHLEB	#008c45	#01579b	Sennino Miasto	Stadion Senny (32,000)	EUFA
	ASP	South Pelagonia	67.9	La Nuestra	4-3-3	Never	Long	No Instruction	(73) Gaston LEGRAS [ARV]	(70) Jabulani DLAMINI	(73) Celani BUTHELÉZI	(70) Mlungisi NDLOVU	(69) Jomo MOCOÉNA	(66) Enhle KHUMALO	(82) Simphiwe CHABALALA	(72) Lebogang DU PHIRI	(67) Vusumuzi ZOULOU	(67) Olwethu MAKHANYA	(70) Rhulani KHOUZA	(64) Rolihlahla MBEKI	(66) Dumisani SISOULOU	(65) Fikile HADEBÉ	(66) Sipho MASHABANÉ	(66) Themba NGCOBO	(66) Kagiso SITHOLÉ	(65) Pitso MODISÉ	(66) Gcobani NHLAPO-MARAIS	(65) Hloni BHÉNGU	(65) Bonginkosi MTHEMBOU	(66) Siyabonga MAZIBOUKO	(68) Tshepo MOTAUNG	#007a33	#f9a825	Cap de Bonne-Espérance	Le Cap Oval (36,000)	PFA
	NMZ	Mizuho	67.0	Gegenpress	4-1-4-1	Sometimes	Short	Drop Off	(74) Arseny STROGANOV [RUD]	(74) Sibö KURBLI	(70) Namú SURIÁ	(69) Tsirú DIKÖL	(67) Dowá TUVÖL	(67) Sulá BIKAKÖ	(80) Durí KARÍ	(67) Duchí SIWÖL	(76) Yëría KACHÉ	(66) Kanë DABÁ	(67) Ditsö NAKÍ	(66) Juní BÖRÁ	(64) Takeshi KURBLI	(65) Siwá CHINAKÖ	(65) Bulú TARKÖL	(64) Nawë KUCHÖL	(66) Bikëí YËKÖL	(64) Tkabë KICHÁ	(64) Talí SABÁKÖ	(64) Jatsó BLUKÖL	(62) Këbö WIRBLI	(63) Jawí TOKWÁ	(65) Chirá NUBRÍ	#bc012e	#FFFFFF	Kanegahara	Kanagahara Tamanqui University Park (18,000)	CONSEAF
	ABB	Barbary	66.5	Wing Play	3-4-3	Never	Long	No Instruction	(75) Yanis BELKACEM	(64) Hamza BENALI	(77) Alceste DEROCLES	(69) Tahar DJABALLAH	(67) Réda MAAMERI	(65) Koceïla IDIR	(66) Fethi KATEB	(64) Ouahid RAHMANI	(66) Boualem HAMRAOUI	(81) Sofiane MANSOURI	(68) Lakhdar MEZIANE	(71) Chérif GUERROUDJ	(64) Léon RENARD	(64) Kaddour BENFODIL	(64) Nadir CHERIET	(62) Arezki AGGOUN	(64) Gaston FABRE	(64) Mahfoud BENSALEM	(63) Oualid MEBARKI	(68) Hakim ZERGUINE	(62) Armand PICARD	(65) Yacine BELKACEM	(66) Amaury COUSTEAU	#006233	#37474f	Algernon	Stade des Corsaires (40,000)	CONSEAF
	AWB	West Bangala	65.0	Zona Mista	4-4-2	Never	Short	No Instruction	(76) Fergus TREHERNE [ELV]	(66) Kamal RAHMAN	(66) Liakat CHOWDHURY	(65) Jahangir HOSSAIN	(63) Enamul ISLAM	(65) Chanchal AHMED	(72) Humayun PIKER	(68) Fazlul MIAH	(68) Didar SIKDER	(69) Vibhas TALUKDER	(70) Palash BHUIYAN	(66) Rofiqul KHANDAKER	(63) Swapan MAJUMDER	(62) Nazrul HAQUE	(63) Shafiqul MOLLA	(63) Delwar SARKER	(63) Mizanur GAZI	(63) Gautam DAS	(63) Tapan BARUA	(63) Ashraful BISWAS	(64) Jamal SARDAR	(63) Rubel MUNSHI	(62) Iqbal KAZI	#f42a41	#006db3	Kolkutta	Stade des Comptoirs (68,000)	PFA
	ENR	Noradia	64.8	Zona Mista	4-4-2	Sometimes	Long	No Instruction	(75) Alistair KHAN	(67) Bibhuti MOHAPATRA	(64) Somaru MARKAM	(67) Rupert CAVENDISH	(65) Fulgens TIRKEY	(63) Kailash RATH	(68) Gyan HANSDA	(69) Archibald BAMFORD	(66) Lakhan HEMBROM	(66) Julian PATRICK	(69) Madhusudan PATNAIK	(68) Nilambar SENAPATI	(63) Prem TOPPO	(62) Jaipal LAKRA	(63) Debendra SAHOO	(63) Ghanashyam BEHERA	(63) Percival ASHDOWN	(63) Trilochan KHUNTIA	(63) Sanatan JENA	(62) Hidma NETAM	(66) Bhagaban PRADHAN	(64) Ranjit MOHANTY	(62) Clive FORSYTH	#138808	#ff9933	Noradia City	The Thousand Shrines (34,000)	PFA
	ANH	Neuhollmar	63.2	Second Ball	4-4-2	Never	Short	Step Up	(75) Reimund PFEIFFER [ALE]	(64) Gareth TIPENE	(66) Judah RANGITĀNE	(67) Kurt MUELLER	(63) Fraser TE RANGI	(64) Rolf HOFFMANN	(63) Hone WIHONGI	(68) Albrecht VON HAAST	(63) Matthias BECKER	(64) Walther MEYER	(71) Eruera WAITITI	(67) Pita RATA	(60) Tobias SCHMIDT	(60) Nikolaus WAGNER	(61) Tama WHAREHUIA	(61) Konrad LINDEMANN	(61) Rawiri PARETAI	(61) Lachlan IHIMAERA	(63) Ernst BRAUNSCHWEIG	(60) Armin DIEFFENBACH	(62) Manaia TŪHOE	(62) Sigmund REINDL	(60) Otene KEREOPA	#003580	#607d8b	Wangerhafen	Segelstadion (26,000)	PFA
	MOR	Morozia	62.9	Catenaccio	5-3-2	Sometimes	Long	No Instruction	(68) Rezső FAZEKAS [TUR]	(66) Atiqtalik AHMAOGAK	(64) Mitrofan MAKAROFF	(66) Ignatiy GROMOFF	(64) Piquk IPALOOK	(62) Eben NAGEAK	(65) Spiridon KRUKOFF	(67) Nanuq OYAGAK	(66) Katlian KADASHAN	(67) Veniamin TARAKANOFF	(63) Dorofei LESTENKOF	(63) Levi KIGNAK	(61) Tigluk BERESKIN	(60) Rolland NANENG	(61) Aput ANAGICK	(61) Prokopiy TETPON	(61) Utuk SIVUQAQ	(61) Innokentiy PANKOFF	(61) Qillaq NUTAAQ	(61) Yakov GALAKTIONOFF	(61) Filipp AYAGALRIA	(63) Feoktist SHISHKOFF	(60) Miqliq KATCHATAG	#3f50a8	#b8c5d6	Litova	Polunochnoye Pole (16,000)	CONSEAF
	AEM	El Magreb	60.3	Catenaccio	4-1-4-1	Sometimes	No Instruction	Offside Trap	(75) Anton HUBER [ALE]	(82) Yassine BENALI	(62) Montasir EL ANDALOUSSI	(61) Heliodoro MEDINA	(61) Rachid BENCHEKROUN	(56) Badr CHRAIBI	(56) Idriss MESSAOUDI	(77) Zakaria BOUHADDOU	(83) Youssef VALVERDE	(56) Othmane EL FASSI	(56) Khalil ALAMI	(58) Ildefonso MORÓN	(55) Younès ZEROUAL	(54) Bouchaib OUFKIR	(60) Anass BERRADA	(60) Ismael TAZI	(56) Ayoub SEKKAT	(55) Taoufik AMRANI	(56) Noureddine MANSOURI	(56) Nabil CHAKIB	(55) Ilias ROCHDI	(54) Adnane FILALI	(57) Soufiane LAHLOU	#c1272d	#827717	Casamarilla	Estadio del Poniente (38,000)	CONSEAF
	AEK	East Kaukasos	60.1	Counter	4-4-2	Sometimes	Long	Drop Off	(74) Tsuneharu KUROBE [NCH]	(58) Nikoloz NADARAIA	(58) Ashot AGHABABYAN	(65) Toghrul BAKHSHIYEV	(58) Otar TVALCHRELIDZE	(59) Vahagn MANUKYAN	(85) Kakha KVERNADZE	(81) Hayk KHITARYAN	(60) Sevak OHANIAN	(57) Rashad VERDIYEV	(74) Bastien SHENGELIA	(58) Carnig CHALIKYAN	(55) Demna KHUTSISHVILI	(53) Elchin PIRIYEV	(56) Hrant MKRTCHYAN	(55) Levan JAPARIDZE	(56) Elvin ALIYARLI	(55) Vrej BEDROSSIAN	(57) Giorgi TSKHOVREBA	(54) Yves MERCIER	(57) Armand DELAUNAY	(58) Aram KESHISHYAN	(53) Zurab TVILDIANI	#3f51b5	#795548	Bakou	Stade du Feu Éternel (30,000)	EUFA
	ATA	Tierra Arcadia	59.2	Park The Bus	4-4-2	Constantly	Short	Step Up	(73) Juhani RAUTINEN [KAR]	(62) Aandeg DEBAASIGE	(64) Firmino VARELA	(61) Giizis WEMIGWANS	(61) Donat OBOMSAWIN	(61) Mateus HERRERA	(58) Keesic NOTTAWAY	(64) Elwood WAGAMESE	(61) Joaquim FONSECA	(61) Clifton PAPATIE	(59) Biidaaban MANITOWABI	(60) Niibin NADJIWON	(57) Paulo PEDROSA	(56) Hercule TENASCO	(58) Makwa KIJIKO	(57) Rogério BATISTA	(57) Waabi ODJICK	(58) Ogimaa PANADIS	(57) Lyle KAKEPETUM	(57) Nangwa CHECHOO	(59) Duarte MESQUITA	(59) Zhaawan COMMANDA	(56) Ignace WAWANOLET	#d52b1e	#8d6e63	Federico	Campo de los Abetos (10,000)	CONSEAF
	GUP	Uj-Pannonia	59.2	Zona Mista	4-4-2	Never	No Instruction	No Instruction	(73) Kimi RÄISÄNEN [KAR]	(61) Pranab HAZARIKA	(61) Khagen BASUMATARY	(63) Gusztáv MOLNÁR	(59) Ritupon GOGOI	(59) Swrang NARZARY	(61) Lehel BALOGH	(69) Lajos ÚJFÖLDI	(60) Hemanta SAIKIA	(61) Tivadar LAKATOS	(63) Amarjyoti BHUYAN	(56) Darsing TERON	(57) Frigyes PAPP	(56) Nilotpal KONWAR	(58) Dhruba BORDOLOI	(58) Bálint KERESZTES	(58) Ranjan DEKA	(58) Mridul PAYENG	(56) Jogesh BRAHMA	(56) Utpal MAHANTA	(58) Kalyan BORAH	(59) Jenő SZÁNTÓ	(55) Bijoy RAJKHOWA	#436f4d	#5d4037	Arecaváros	Teakert Stadion (28,000)	PFA
	ARU	Arunya	58.9	Zona Mista	4-4-2	Never	No Instruction	Offside Trap	(67) Kaveh YAZMAIDI [VAR]	(62) Thirumal ANNAMALAI	(59) Kasun GUNAWARDENA	(63) Senthil THIRUVENGADAM	(60) Vigneswaran ARULAMPALAM	(59) Murugan SHIVASWAMY	(60) Asela DISSANAYAKE	(60) Oviyan VENKATARAMAN	(62) Raveendran UNNITHAN	(62) Bilya GARLETT	(65) Dhanushkodi THURAISINGAM	(60) Natarajan MADHAVAN	(57) Govinda HEGDE	(55) Hasintha AMARASINGHE	(58) Chandran RAJAPAKSHA	(58) Nuwan WICKREMESINGHE	(58) Selvam PONNAMBALAM	(56) Jagan KRISHNAMURTHY	(58) Kumaran SIVANATHAN	(56) Ezhil ARUNACHALAM	(58) Jarrah NANNUP	(56) Prasanna ABEYWARDENA	(54) Waalitj BROPHO	#ff7f42	#2e7d32	Manbavi	The Great Maidan (82,000)	PFA
	NRG	Ryūgu	58.0	La Nuestra	4-1-4-1	Never	Short	Step Up	(76) Roland BEAUCHAMP [ARV]	(86) Basem SHENOUDA	(53) Yohannis SUKKOTI	(77) Merkurios KUDANBES	(61) Georgios ARTIGASHA	(57) Ioannes DONGOLAWI	(53) Petros NOGEDI	(56) Stephanos BALLANA	(57) Theodoros FARASIN	(57) Yohannis MINA	(57) Damianos FARAGAB	(56) Moüses KYRILLOS	(58) Kosmas SUKKOTI	(51) Ioannes QUSTUL	(59) Kalidurut BISHOY	(58) Papnoute GUIRGUIS	(55) Butros TOSKANI	(52) Zakri KALIDUR	(54) Merki ESSILI	(53) Siti GEMAI	(53) Kosti SERRANI	(57) Tadros SONQI	(55) Butros SEDHOM	#D4A017	#1A1A1A	Shin-Chukyo	Sanzu-no-Kawa Stadium (40,000)	PFA
	AKN	Kienam	57.6	Second Ball	4-1-4-1	Never	No Instruction	No Instruction	(74) Motoharu HORIE [NCH]	(60) Notini TIKANA	(60) Aloysius KAVIU	(61) Ferdinand STEINER	(60) Vitus TO NGALA	(56) Titus TURUK	(59) Gideon VUNAIROTO	(59) Silas VATOM	(64) Jaroslav NAVRÁTIL	(59) Manasseh TAMATE	(61) Oskar BERGER	(61) Raphael SIMET	(55) Libor RŮŽIČKA	(53) Damien VUNAMAMI	(55) Kaspar TOKORI	(55) Elias BAGITA	(55) Emil ŠVEC	(54) Petros PONDROS	(57) Nathan LAVUKA	(56) Konrad HELLWIG	(56) Peter WAROTA	(56) Jonah KAMBUOU	(56) Benedict TO WARAI	#fed100	#880e4f	Kaisershafen	Der Kaiserplatz (7,000)	VAFC
	AED	Dämmerung Islands	57.0	Second Ball	4-3-3	Sometimes	Short	Step Up	(73) Cornelius TRUMSLAGARE [SKJ]	(59) Kaiwi KANAKAOLE	(59) Gerrit VAN LEEUWEN	(59) Nakoa KEALOHA	(58) Alois STEINER	(59) Ikaika MAKOA	(58) Daan MULDER	(61) Pono NAINOA	(58) Ulu PIIPIILANI	(58) Haku KAHANANUI	(59) Eleu POKIPALA	(60) Lono KEKOA	(55) Wim KOOIJMAN	(54) Makani KINIMAKA	(55) Keanu HOOKANO	(55) Bram VERSTEEG	(55) Kalani PUAHALA	(56) Finau MAHOE	(55) Ola NAONE	(55) Sander DEKKER	(56) Jonah KUPIHEA	(55) Manu KAWELO	(56) Noa LIMAHAI	#1e3a5f	#e65100	Neu-Klagenhafen	Brandungsstadion (20,000)	CONSEAF
	ACS	Côte de Saumon	56.0	Wing Play	4-3-3	Never	Short	Step Up	(76) Tadashi YATABE [NCH]	(57) Ibrahim GALADIMA	(57) Aliyu DIKKO	(62) Martial LEFÈVRE	(57) Bukar DALORI	(57) Shehu TURAKI	(61) Nuhu MAINA	(58) Ousman JALO	(57) Édouard FONTAINE	(58) Yakubu DATTIJO	(57) Kabiru MAINASARA	(55) Garba MAGAJI	(54) Tijjani TAFIDA	(53) Hamidou BARRY	(54) Sanusi GWANDU	(54) Bashir GUSAU	(54) Armel BOUCHARD	(54) Rabi'u INGAWA	(54) Umaru YAKASAI	(54) Lawali BIRNIN	(55) Lawan ZANNA	(56) Nasiru KAURA	(54) Idrissa SOKOTO	#008751	#00bcd4	Aubourg	Le Grand Marché (40,000)	CONSEAF
	AKG	Kogelland	55.4	Second Ball	4-4-2	Never	Short	No Instruction	(71) Hideo SONOBE [NCH]	(57) Amaru CALFUQUEO	(57) Diethelm BRUNNER	(60) Nawel ÑANCULEF	(56) Gerben VERHOEVEN	(57) Coyam CAYUPÁN	(59) Leftraru PAINEMAL	(60) Pier HOEKSTRA	(57) Wanguelen SAYHUEQUE	(55) Mangin TRIPAILAF	(58) Orkeke INACAYAL	(59) Inti LONCÓN	(53) Hannes ZIMMERMANN	(52) Kintu QUIDEL	(53) Antü MILLAHUAL	(53) Gerhard STROBEL	(53) Rayen CATRILEO	(53) Toki QUILAQUEO	(53) Foye HUENCHULLÁN	(53) Willem BAKKER	(54) Namuncura LIENLAF	(55) Kurt EBERLE	(52) Elicura PANGUILEF	#0039a6	#bf360c	Marienhafen	Vulkanstadion (18,000)	PFA
	AXE	Axerfreditenshin	53.0	Counter	4-4-2	Never	Long	No Instruction	(73) Huugo SARELAINEN [KAR]	(54) Bilguun BAT-ERDENE	(51) Yingjie MA	(57) Dambiin DORZHIEV	(53) Nergüi CHIMEDDORJ	(55) Haotian HA	(57) Galsan BADMAEV	(56) Irgen MU	(54) Tsogt GANTULGA	(54) Radna TSYDYPOV	(59) Enkhbold TSENDBAATAR	(54) Kaiwen DING	(51) Solbon MUNKOEV	(50) Ariunbold LKHAGVADORJ	(51) Batbayar OCHIRBAT	(51) Zhiqiang LOU	(51) Sükhbaatar ERDENEBAT	(51) Minghao BAI	(51) Ochir GOMBOJAV	(51) Zorigt DAMBA	(52) Buyan TSERENDORJ	(52) Jianguo SHU	(50) Jianfeng NA	#0166c5	#b71c1c	Kulun	Naadam Talbai (30,000)	VAFC
	ANB	Napolyon Bonparterre Islands	52.9	Wing Play	3-4-3	Sometimes	No Instruction	Drop Off	(69) Kristian HÅKANSSON [SKJ]	(55) Josefa GONELEVU	(55) Sitiveni SERUVAKULA	(56) Mahendra SINGH	(54) Augustin MOREAU	(56) Napolioni TIKOISUVA	(55) Epeli LEWENIQILA	(54) Ilaitia TITIFANUE	(55) Théophile THIBAULT	(55) Viliame LATIANARA	(57) Rajesh NARAYAN	(53) Kolinio RIGAMOTO	(51) Yoann LACROIX	(51) Meli VAKATAWA	(51) Sanjay MAHARAJ	(50) Peni NAIVALU	(51) Waisale RAVUIWASA	(51) Delana KOROI	(51) Émile POIRIER	(51) Waisea DELAIBATIKI	(49) Usaia VEITAYAKI	(50) Ratu BALEIWAI	(52) Anil PRASAD	#68bfe5	#0097a7	Port-de-Orssier	Stade des Cocotiers (8,000)	VAFC
	ENC	New Celyddon	49.7	Route One	3-4-3	Constantly	Short	Drop Off	(65) Zoltán KENDER [TUR]	(49) William BWEMARA	(54) Kasi HNAMANO	(51) Soane LAGIVAKA	(48) Douglas MACKENZIE	(53) Nidoïsh NAISSELINE	(53) Poindi KABAR	(51) Falakiko VAILALA	(54) Ramsay SUTHERLAND	(47) Mwalé LÖPWI	(54) Toma PEATO	(50) Jobi PAOUME	(48) Angus CAMPBELL	(48) Wamytan GOROMIDO	(48) Callum DRUMMOND	(47) Hnaïka TANÉOUYA	(49) Ézéchiel TEIN	(48) Gaitu WAIA	(48) Poadja NEKIRIAI	(48) Sione TAUFA	(47) Yengo YAKA	(49) Hamish URQUHART	(49) Kaloonbat NEDIA	#002654	#263238	Cakobau	Maes Cakobau (9,000)	VAFC
	AGN	Gonenite Islands	47.7	Catenaccio	4-4-2	Sometimes	No Instruction	No Instruction	(75) Tapani NISKANEN [KAR]	(48) Joseph NANAU	(47) Tomas MEKA	(53) Hedley KABUTAULAKA	(49) Ewald KESSLER	(51) Manasseh TANANGADA	(49) Benaiah TAUPONGI	(51) Kurt HARTMANN	(50) Nathaniel SUIFUA	(50) Abraham TALOIKWAO	(49) Wolfgang STEINBERG	(46) Philemon IROGA	(46) Gideon WANEFIORI	(45) Solomon KILOE	(46) Silas MAETALA	(46) Reinhard KOLLER	(46) Jethro HOUANIHAU	(46) Raphael TEIKA	(46) Festus BOSETO	(46) Ezra TALASASA	(47) Otto LINDENBERG	(47) Micah SAENIU	(45) Onesimus SISIOLO	#0051a5	#78909c	Nagoniara	Korallenplatz (6,000)	VAFC
	KKM	Kullanmaan	45.3	Route One	4-4-2	Never	Short	No Instruction	(72) Nobuteru KAMIJŌ [NCH]	(42) Odd-Isak HÆTTA	(44) Esko SATERÄKKI	(47) Sámmol KRUSINEN	(44) Biera TUULIPARÄNEN	(46) Jovnna URUJÄRVEN	(45) Virsa TUTTONEN	(48) Lemet VESIJÄRVEN	(46) Piera AMARAINEN	(46) Feodor KULANEN	(47) Luukas GANTONINEN	(43) Veikko TURKUNEN	(42) Topi BONKONEN	(43) Santteri SELMYAÖKI	(46) Porona SIMPANSEN	(45) Aleksanteri KULAINEN	(44) Nngon URTINDA	(48) Pää TÜÜLKOK	(46) Ulrik SEJTALA	(44) Tuomas KUUTEMBEN	(45) Tiies INKERINEN	(51) Juhani NORSUUNLAINEN	(45) Ture POULE	#002f6c	#0277bd	Niemilinna	Kulanmaan Park (8,000)	CONSEAF
	SSA	Southeast Aphirica	44.0	Wing Play	4-4-2	Never	Short	Step Up	(67) Balázs KATONA [TUR]	(43) Duol AKOL	(45) Tong TIKIMA	(49) Biel CHUOL	(46) Meir SHAPIRA	(45) Atem MADUT	(48) Gatdet HOTH	(47) Uziel KATZ	(45) Wol LUAL	(44) Ngor THON	(46) Festo GBADUMA	(43) Puok GATLUAK	(42) Yehoshua TOLEDANO	(42) Ring MAJOK	(43) Deng ALIER	(43) Shmuel BERKOVITS	(42) Nyuon RIAK	(42) Ophir AZOULAY	(42) Jok GONY	(42) Kuol AJAK	(44) Eitan HALEVI	(43) Garang BOL	(41) Luol NHIAL	#078930	#4a148c	Bungaloo	Bungaloo Common (14,000)	CONSEAF
	VAN	Aphirica del Nord	43.8	Counter	5-3-2	Sometimes	No Instruction	No Instruction	(67) Knut VÄVARGREN [SKJ]	(45) Comlan GBANOU	(44) Mahamat NGARADOUMBÉ	(47) Ennio AMATO	(46) Kombo KOBANDA	(44) Rufin YAKÉTÉ	(48) Gennaro MANCINI	(47) Odilon BORKONO	(45) Pacôme GUÉBRÉ	(44) Narcisse NAKOMBO	(47) Abdoulaye MAÏNA	(43) Bienvenu WONGO	(42) Silvio SORRENTINO	(40) Théophile MANDABA	(43) Gianluca PERRONE	(43) Prosper NGOUMBA	(42) Célestin ZOKOUE	(43) Dieudonné BAGAZA	(43) Emidio LOMBARDI	(42) Faustin MOBELE	(41) Ibrahim GALI	(43) Fidèle MOKOSSA	(41) Léopold YANGONGO	#003082	#757575	San Damiano	Campo della Missione (12,000)	CONSEAF
	ASG	Sankt Gerold Island	39.7	Catenaccio	4-3-2-1	Constantly	Long	Drop Off	(52) Fariborz ROSTAMI [VAR]	(38) Herman KOGOYA	(41) Selpius RUMBEKWAN	(40) Weynand PAKAGE	(38) Joost BROUWER	(40) Isak WETIPO	(44) Agustinus KLAFLE	(43) Pieter VAN DAM	(42) Neles WANIMBO	(45) Yustus TEKEGE	(41) Eliezer DESAP	(40) Dominggus IMBIRI	(38) Frits HENDRIKS	(37) Orgenes BIWAR	(39) Yulius MABEL	(38) Bram HOOGLAND	(38) Otniel YEIMO	(38) Barnabas WANDIK	(38) Gerson MANDOSIR	(38) Demianus GOBAI	(40) Teunis SLOOTMAN	(40) Kornelis WENDA	(38) Melky MOTE	#ed1c24	#33691e	Falkenheim	Konzessionsplatz (9,000)	PFA
	KFK	Frederikka Islands	39.5	Counter	4-1-2-1-2	Sometimes	No Instruction	No Instruction	(73) Rodion ROSTISLAVOVICH [RUD]	(39) Andres RAIVO	(41) Phailo SHOMPONEN	(43) Taiwin PACAKA	(38) Noren APNGAN	(40) Engalo SAMĀYAN	(46) Nūmho LARANYAL	(43) Risto ĀTLAKÖNEINEN	(41) Vīren CHŌNA	(40) Paavo SUURSAAREN	(41) Dōren LÂCHŪATON	(41) Daiwo ÂHÄNŌNYTE	(37) Jeriel HOSEA	(39) Ruuna ANNASAAREN	(37) Ravu MANGGOI	(37) Urho KIVIRANTA	(37) Sakari VUORELMA	(37) Ilmari HATAMAAEN	(40) Anāne UUSIPIENIEN	(38) Kanaka PĀHOA	(37) Poota PALMUSAAREN	(40) Olavi MARVINEN	(38) Eino HALTTUNEN	#4997d0	#6a1b9a	Shompolahti	Shompolahti Arena (4,000)	VAFC
	AAD	Andam Islands	37.8	Counter	4-3-2-1	Sometimes	Long	Drop Off	(70) Harald OLOFSSON [SKJ]	(37) Nayuka PATCHILA	(39) Saw HTOO	(41) Elias TOTANANGE	(38) Matouš BENEŠ	(39) Pau ATONG	(41) Gustav SEDLÁČEK	(42) Isak NANLONG	(39) Bual PONGE	(42) Jiří FISCHER	(38) Doh PAW	(37) Khumba CHARI	(36) Cham MELONG	(35) Thaw MOO	(36) Eh HTAY	(36) Vojtěch DVOŘÁČEK	(36) Kyaw BLAY	(36) Falam TELONG	(36) Radek ZELENKA	(36) Ludvík HORÁČEK	(38) Thura MAUNG	(37) Poe LWIN	(36) Aluk ENAM	#34b233	#ad1457	Johannshafen	Der Sträflingsplatz (7,000)	VAFC
